title,product,rating,text,rew_body,reviews
"DKnight MagicBox II Bluetooth 4.0 Portable Wireless speaker, 10W Output Power with Enhanced Bass, build in Microphone for handfree phone call",Electronics,5,amazing.  loud and clear.,0.7506,positive
Disney Frozen Twin Bell Alarm Clock,Electronics,5,Awesome little alarm clock for my girls and they love it!,0.8169,positive
2-RCA Stereo Audio Cable (3 feet),Electronics,5,Excellent wires.  Nice durable feel and they sound great.  I would definetly buy more if I ever need in future!!,0.9039,positive
"Gearonic Adjustable Circumaural Over Ear Headphone, Red",Electronics,2,bought for kids because it looked like beats but they are too young to invest in beats. Both pair broke within months and I had to trash them.,-0.4497,negative
Dynamic Living Oversized 16-inch X 7.5-inch Digital Led Calendar Wall Clock,Electronics,5,"Perfect for my 93 year old dad who is legally blind and forgetful. At a glance, he can tell the time, day, and date. He had been having difficulty reading a clock with \\""hands\\"" ... large digital read out has solved the problem. Arrived promptly without damage.",-0.0186,neutral
CABTE High speed HDMI 1.4 HDMI cable 10ft 1080p with mesh&filters supports 3D&blue ray,Electronics,4,good product.,0.4404,positive
"Connectland CL-SPK20149 17"" USB Powered Sound Bar Speaker",Electronics,4,"works great, improves the sound in the room instead of the sound behind the TV.",0.7845,positive
Sony MDR-ZX310-BLACK Wired Headphones with Lightweight Adjustable Headband and Swivel Earcups,Electronics,5,Great sound and quality for the price.,0.6249,positive
Samsung 4.2-inch Galaxy Player,Electronics,5,I bought it for my wife who is anti technology... I have a S3 but don't want another monthly fee on cell bill... this does everything without a cell bill.,-0.246,negative
"OREI Grounded Universal 2 in 1 Plug Adapter Type G for UK, Hong Kong, Singapore & more - CE Certified - RoHS Compliant WP-G-GN",Electronics,5,"We ordered this adapter for our recent trip to Dublin and Ireland and it worked as described.  We only ordered one as I also ordered a 4-plug power strip that then plugged into this adapter.  That way, we were able to charge four devices at once.  The adapter worked fine - no issues.  Much cheaper than buying in the Dublin or London airports or in town.",-0.1027,negative
AC Adapter Power Supply Charger+Cord for Gateway m-6320 t-6324c 4540 M-6815 M255-E M255-G MT6017 MT6704 MX4000 m-6801mt m255e w350a,Electronics,5,Great product and I received it quickly.,0.6249,positive
Sony MDR-NC6 Noise Canceling Headphones,Electronics,5,"I didn't realize over the ear headphones could sound so great.  I tried these for the first time on flight to the west coast.  They did a great cancelling out the noise on a loud commuter flight and were perfect for the jet flight.  I could finally enjoy a movie on my laptop without the constant background noise from the airplane.  Bass, midrange and trebble were clear and crisp.  For the price, you can't go wrong.",0.9665,positive
AmazonBasics High Speed HDMI Cable,Electronics,5,These are pretty nice HDMI cables for the price.  They work great and they are color coded.  This was a great value.,0.9485,positive
Insignia NS-CLW01 Clock Radio with Weatherband Tuner,Electronics,5,this clock is perfect for anyone in a rural area because of the great digital tunning.  also the indoor and outdoor temps are great to check out when you wake,0.9169,positive
Photive BTH3 Over-The-Ear Wireless Bluetooth Headphones with Built-in Mic and 12 Hour Battery. Includes Hard Travel Case.,Electronics,2,"Broke almost imedietly,  but they worked fantastic until then.",0.6124,positive
VIZIO XRT302 KE Internet Qwerty Keyboard Remote for Select VIZIO TV'S,Electronics,1,Worked for 17 days then quit. I'm beginning to think Amazon sells seconds when it comes to electronics.This was not the first time.Shame on me.,0.1779,positive
"Axess HPV609-BK Professional headphones with volume control, 3.5mm to 6.3mm adapter jack (Black)",Electronics,2,"after about a week of normal use, the audio pickup failed, leaving only a static filled left audio where the stereo used to be.",-0.5106,negative
Onkyo C-7030 Compact Disc Player (Black),Electronics,5,"Beyond my expectations. I am so pleased. I get quality sound at a fraction of what I could have paid. Running this through two channel Sony receiver (old but great) and my Definitive Technology speakers and sub. I did purchase high quality connection cables and so glad I did. If you are on the fence about purchasing a 7030, don't be. A friend of mine just got one too and he is thrilled with its clarity and overall performance. He is an audiophile and says this is one of those deals out there for $180 that can perform with the big boys (prices and name).",0.96,positive
Kodak 52500 DVD-R 4.7 GB White Inkjet Printable DVDs - 100 Pack,Electronics,5,"Have bought this before and WILL purchase this again.<br />The quality is excellent and instead of powder coating, the DVD has a soft white smooth coating.  The labeling comes out GREAT!",0.8697,positive
Coby Deep Bass Headphones with Stereo Earphones,Electronics,5,"These headphones are amazing. I loved them! They do such a great job of blocking out noise. Although my roommate could hear the music I was listening to, I still love them. I don't really use the little pair of headphones, but that's only because they hurt my ears. I bought these for the big headphones anyway.",0.4389,positive
Klipsch Image S3 Noise-isolating Earphones with Patented Oval Ear-tips (Brazen Blue),Electronics,1,These headphones are horrible.  I gave them to my daughter and she hated them.  I tried them and agree that the sound quality is very poor.,-0.8622,negative
Xtrememac Tango Air Airplay Wireless Hi-Fi Speaker Subwoofer for Apple iPhone 5 and iPod and iOS 5.0 or Greater Devices - Black,Electronics,2,Setup sucked - instructions explain two was to connect the unit to the network - a quick setup and a manual.  Quick didn't work.  Manual did after a couple of attempts.  I gave the product 2 star review because it constantly lost wifi signal. It wouldn't play an entire song without dropping out.  Now disclaimer: this happened in my parents 3000 sq foot home with only one wireless router (Apple AirPort Extreme AC).  In the location of the house the tango was dropping signal I had constant signal to my 5s and laptop.  I think the tango sucks.  Sound is good though,-0.7128,negative
Burton Technologies Acoustibuds,Electronics,4,"I have a Jabra BT5020 bluetooth headset and am constantly misplacing the manufacturer earbuds since they only stay on securely for the first week. The stock Jabra earbuds either stick in you ears when you remove the headset or drop off when you least expect it. I looked all over the 'Net to find BT5020 earbud replacements, and there are none!     I demo'ed Acoustibuds at the 2009 CES, and loved them as soon as I put them on. They are the perfect size replacement and provide more noise isolation than the stock Jabra earbuds. I would recommend you try both sizes on the Acoustibuds, since the #6 is a little snug on my ears (hey, it was free). When it wears out (they seem to be pretty sturdy, so it might be a while), I'll reorder a set of #5's. I haven't tried them on regular headphones yet, but I'm sure that they work even better in both ears.",0.9331,positive
"USB2.0 DV/TV/VHS/DVD Camcorders Video Audio Capture AV Adapter card Win 2000, XP, vista compatible H35",Electronics,5,"Can't beat the price and it works on Vista 32 bit.    Note, you will need a basic composite video cable (with male heads on both sides, red, yellow, white), since the inputs are all female and whatever you are getting the video from will also all be female.    The Software worked on Vista 32 bit, but I found that the free program AMcap (just google it) worked better (didn't seem to lag in longer videos). Make sure that under the Devices tab that the Microphone USB Audio Interface is selected, that capturing audio is selected and the composite video is set. Also, setting it to the WMV compression, seemed to create less lag. Note, when preview the audio plays, when capturing the audio will not play (but the recorded file will have the audio on it). Also, it suggest the video file will be many many many gigabits in size, but will really be in the hundreds of MB.    I can only FULLY recommend this for SHORTER videos or videos that you don't mind breaking up, as longer recordings can tend to start lagging where it jumps or where the     For the free software that cam with the product, on the Capture Tab, click on the Options icon and under \\""Capture Options\\"" make sure that the box \\""Capture Audio\\"" is selected, and under the same Options icon, select, \\""Video and Audio Capture Property Settings\\"", and check the box under the Source tab that says \\""Preview audio from USB device\\"". Under the same Source tab, make sure that under Video, Input Source is set to \\""Video Composite\\"". Under the Capture Tab, the \\""Use Software Compression\\"" might help with lag between the audio and video.",0.9812,positive
Sennheiser RF Wireless Headphone System,Electronics,5,"Equipment used:<br /><br />Amp - Arcam a75<br />CD - Denon DCD-520<br /><br />Headphone docking sets, for want of a better term, have never really appealed to me in the past; I have fairly decent audio equipment, and I've got some nice headphones with long leads to use with them. It may be in my mind, but when I used to listen to wireless systems in the 1990s, the sound never convinced me in the slightest - I didn't bother lingering to find out why; at the time I assumed that it might have been due to compression of the sound during the wireless bit (forgive me if I get too technical). Headphone output is all in the head in more ways than one.<br /><br />Well, I've changed my mind. I've always been an admirer of Sennheiser's headphone sound without finding it the most involving; their Momentums are a lovely example of their signature style - very pure, maybe slightly cold, lots of sound stage and separation, lovely for detailed listening such as live orchestral works, but lacking a certain sexiness to really get down on the dance floor.<br /><br />These are open-backed headphones; they are designed to let a bit of noise in and out - it improves the listening quality. If you dont want to hear external noises or have others hear what you are listening to, then you need the closed back variety.<br /><br />These ones produce a very warm sound, which manages to keep that unadulterated feel that people buy Sennheiser for; V-Moda m-100s they aren't, but there's never a moment of doubt in my mind when listening to Mingus, Monk or Miles - the sound is as good as the plug-in alternatives'. The open backs of the cans really lending a sense of space to live recordings; in fact, studio albums become noticeably less enjoyable at times, because you can hear when tracks have been dropped in, rather than recorded at the same time as something else. There's a sense of ease with which the headphones deal with what hits them - they glide; never do they strain.<br /><br />They definitely pass the sound test. I'll update this as they open out aurally. They are open-backed, so other people will be able to hear your music while you listen.<br /><br />The station provides input via two means - both digital and analogue (RCA). At last, you can put those old tape deck audio outputs to use again; they'll connect up to the back nicely. The controls are simple - you can set the output level manually, or use the auto option. It transmits on the 2.4 GHz wavelength.<br /><br />Sennheiser have got around the problem of internal batteries (and the limited lifespan thereof) very cleverly - this is a real problem with the Creative Soundblaster range of cans for example: they used an integrated internal battery that couldn't be removed; this meant that that the headphones probably had a lifespan of 5 years, which for the asking price was terrible. Sennheiser have placed an easily-removeable AAA rechargeable battery in each earpiece, accessed with a simple twist of the ear cushion housing; these batteries get recharged when the headphones are placed on the docking station and can simply be replaced by new ones very cheaply and easily; well done to them for that, even though it feels retro to be using AAA batteries again.<br /><br />The build quality is very good quality plastic all round, with reasonable leather in the usual places (I've felt nicer on headphones); dials glide smoothly and the user experience is a pleasant one, with nothing cheap or nasty to ignore. The ear cushions are velvet rather than leather, and can be worn comfortable for long periods - even by those with large ears.<br /><br />The controls on the headphones are easy to use, and offer volume and balance. Very easy to use. The transmitter supports an extra headphone if you happen to have another compatible pair lying around.<br /><br />The signal does work from room to room, with walls in between, but I did notice a regular sub-second of dropout from time to time (this might be because the 2.4ghz wavelength is a very busy one in my household - WiFi and Bluetooth all run on the same one). Apparently they have a range of up to 100 metres if you can remain in the line of sight. Good luck trying to do that down my busy London backroad.<br /><br />A minor grouch is with the connector leads provided - why make everything to such demanding standards, and then put bog standard cables in with it? The money saved must be minimal.<br /><br />Overall - I feel like I've brought my old, quality equipment up to date a bit now; my CDs and records are just as good as they always were, and I'm finally converted to the joys of modern wireless audio technology. Wonderful stuff.<br /><br />Most people will probably want headphones that they can also take outside with them, but for those of us who have invested a fair amount of money in their HiFi equipment and want to carry on using it and keeping it up to date, these headphones represent a very good investment.<br /><br />Edit 08-03-15: Frustratingly, I have not found a way to alter the bass and treble levels when heard on the headphones; the amp controls have no effect. This might just be me being dense.ave a range of up to 100 metres if you can remain in the line of sight. Good luck trying to do that down my busy London backroad.  A minor grouch is with the connector leads provided - why make everything to such demanding standards, and then put bog standard cables in with it? The money saved must be minimal.  Overall - I feel like I've brought my old, quality equipment up to date a bit now; my CDs and records are just as good as they always were, and I'm finally converted to the joys of modern wireless audio technology. Wonderful stuff.  Most people will probably want headphones that they can also take outside with them, but for those of us who have invested a fair amount of money in their HiFi equipment and want to carry on using it and keeping it up to date, these headphones represent a very good investment.  Edit 08-03-15: Frustratingly, I have not found a way to alter the bass and treble levels when heard on the headphones; the amp controls have no effect. This might just be me being dense.",0.999,positive
"Hosa MIT-156 Impedance Transformer, XLR3F to 3.5 mm TRS - 18 in.",Electronics,5,It simply works as designed. To have something that connects an unbalanced line level output to a mic level balanced input in one smal package is a tough bill to fill but this little gem does it flawlessly. Used it to connect a projector to a mic mixer.,0.2382,positive
"Cheetah Mounts APDAM2B Dual Articulating Arm (20” Extension) TV Wall Mount Bracket for 32-65” TVs (many up to 75” or more) up to VESA 600 and 165lbs, including a Twisted Veins 10’ HDMI Cable and a 6” 3-Axis Magnetic Bubble Level",Electronics,5,"This thing is amazing!  I could not believe the construction quality of it...talk about industrial strength! The only concern I had was whether or not my wall could hold it and my 55\\"" LED TV.  Make sure you find a couple of wall-studs to \\""bolt\\"" it into...otherwise I don't think that the drywall could support the weight of both.",0.9115,positive
"AmazonBasics High-Speed HDMI Cable - 6.5 Feet (2 Meters) Supports Ethernet, 3D, 4K and Audio Return",Electronics,5,Works great.,0.6249,positive
"Yurbuds Ironman Inspire PRO Performance Fit Sport Earphones with 3-Button Control and Mic, Black/ Red",Electronics,2,"The third time I used them, after working out a sweat , the volume controls stopped working! I think the mike renders this otherwise aceptable earphones useless. If you are an athlete and want sweat proof earphones dont buy them.",-0.5707,negative
PowerStar Vision CP1290L 12V 9AH True High Rate SLA Battery,Electronics,5,Excellent product,0.5719,positive
Kinivo HDMI Switch 301BN Premium 3 Port Wireless Remote & AC Power Adapter,Electronics,5,THIS IS WHAT YOU WANT!!!<br />Switches audio & video,0,neutral
Photive BTH3 Over-The-Ear Wireless Bluetooth Headphones with Built-in Mic and 12 Hour Battery. Includes Hard Travel Case.,Electronics,5,"Had it for a month now and it works well, the hardshell carrying case comes in handy to protect it. So far, so good.",0.8303,positive
X10 Powermid PM5900 Remote Control Extender Kit - Includes a Transmitter and Receiver,Electronics,4,not too bad,0.431,positive
AmazonBasics High-Speed HDMI Cable - 9.8 Feet (3 Meters) Supports 3D + Audio Return Channel,Electronics,5,Good item.,0.4404,positive
plug,Electronics,5,Does what it is suppose to do what else can I say.,0,neutral
Cable Matters Gold Plated VGA Monitor Cable with Ferrites,Electronics,5,very good for price,0.4927,positive
Hello kitty white earphones earbuds,Electronics,1,"When I first saw this item I thought these were so cute!  But, I was disappointed when I placed them in my ears and   they fell right out.  I tried many more times, but the ear buds   would not stay in my ears.  I recommend not buying these,   because they are just a big disappointment.    Sincerely yours,    Sad kitty",-0.638,negative
iKKEGOL 5 Port 1 x 5 HDMI Switch Switcher Selector Splitter Hub for HDTV PS3 w/IR Remote,Electronics,1,Mine doesn't work.,0,neutral
Sennheiser Professional Headphones with Sound Channeling,Electronics,2,"The sound is fine...but:    Zero noise reduction...ZERO! People on the other side of the room can hear what I'm listening and I can hear ALL sounds around.    The $22 Senheiser headphones are way more comfortable AND reduce noise better.    I'm a female (smaller dimensions than a men), and these headphones were making the joint of my jaw (Temporomandibular joint) hurt after 2 hours of use. NOT COMFY.    I'm returning them, having to pay now aprox. 25 bucks in fees to get them credited...mmmmm.",0.4561,positive
iHome Bluetooth Wireless Speaker,Electronics,4,"I picked up this speaker because I was having a small get together, needed a way to stream some music from my Android tablet.<br /><br />The speaker is very well made, it feels really solid, and is small enough to be convenient, but still produces pretty good sound.  Not amazing, not audiophile level, but good enough to be worth it for the price.  Bass response is surprisingly good for such a tiny speaker, though again, it's not going to blow anyone away.<br /><br />The IDM8 suited my needs perfectly... the pairing function is simple and works flawlessly, although it's a shame it doesn't remember paired devices.  If you pair with your phone, then later pair with your tablet, you will have to re-pair if you want to use it with your phone again.  But again, the process is incredibly simple, so it's not such a big deal.<br /><br />The speaker sounds sharp and clear right up until you hit max volume, at which point it does being to distort somewhat.  Overall, I found the volume level to be impressive.  It won't be enough for a raging party, but it was perfectly adequate for a small get together of 3-4 people, and the music filled the room nicely.  Everyone was impressed that such a small device could produce so much sound.<br /><br />There are of course, better speakers on the market, but they cost significantly more as well.  If you're looking for an attractive, quality wireless speaker in the $50 price range, this product definitely deserves a look!",0.9958,positive
Vizio Smart TV Qwerty Keyboard Remote for Vizio Smart TV Models,Electronics,5,"It worked on both my Vizios. Product described well. Worth the price. May even buy another one, because we have 3 Vizios and losing a remote is no fun!",-0.3806,negative
Memorex Blank Media 52X 700MB 80 Minute CD-R 110 Pack Spindle (32020034024),Electronics,5,"you can never have enough cd's and with the jumbo pack, they will last forever. (depending  on how often you use them)",0,neutral
JAM Classic Bluetooth Wireless Speaker (Black) HX-P230BK,Electronics,4,Its a great mini speaker!! Its very loud and good quality especially for such a cheap price!! Get it you wont regret it.,0.8948,positive
Apple iPod nano 2 GB White,Electronics,5,"Got the white 2G along with the Kensington FM transmitter and stereo dock station.  Now, I can play my iPod through my home and car stereo.  I think my CD days are over.  Still wondering if I should have gotten the 4G but I don't know if I ever will have close to 1000 songs.  I know you can get cheaper MP3 flash based players but I was willing to pay more for the iPod look and feel.",0.0258,neutral
"GLS Audio 6ft Y-Cable Splitter Cord - 1/8"" TRS Stereo to 1/4"" TS Mono - 6' Cables 3.5mm (Mini) to 6mm Cord for iPhone, iPod, Computer, and more - Single",Electronics,4,"Well built, decent product, no complaints. Allows me to connect my 3.5mm source such as an mp3 player or laptop or PC to my mixer board.",0.52,positive
Jarv NMotion PRO Sport Wireless Bluetooth Earbuds with Built in Microphone Bluetooth Headphones - Black,Electronics,3,Worth the $30.  I mostly listen to podcasts and there are times where the treble gets a little too high.  I've had good experiences listening to music though.,0.5859,positive
Sony Extra Bass Earbud Headset,Electronics,2,"great sound, but broke after 8months - one side not playing, mic doesn't work. warranty  only 90 days. the other pair (blue) still works and I give it 5 stars.",-0.4657,negative
Panasonic RP-HS16-K In-Ear Earbud Heaphones with Flexible Ear Hinge (Black),Electronics,5,"This is a good headphone. This is actually my second pair of this headphones in 2 years! I broke the cord of the first ones by accident but I used them almost every day for running and they stay in place without being uncomfortable, they resist  rain and sweat very well and the sound is good.",0.8405,positive
Mount-It! Lockable Anti-Theft TV Wall Mount Low-Profile Tilting Design With Adjustable Height Fits 32 35 36 37 39 40 42 43 46 47 48 49 50 52 and 55 Inch TVs VESA Compatible Bracket Stand Up to 400x400,Electronics,1,Claimed it was for a 50&#34; TV when it showed up box said 32-47&#34; TVS,0,neutral
"Yubi Power Slim Surge Protector - White - UL Listed - With 3 AC Plug Outlet Plus 2 USB Ports- 3.4 Amp Outlet - For Charging iPhone 6s Plus, 6S, 6, 5S, 5C, 5, 4S, 4, iPad 1, 2 & 3, iPad mini, Samsung Galaxy S6, S5, S4, S3, S2, Blackberry, Tab 2, Playbook, HTC Flyer - Wall Mounted",Electronics,5,Love this,0.6369,positive
"Mini Wireless Bluetooth Earbuds Stereo Headphones w/ Microphone for iPhone, iPad, iPod, Android, smart phones, and other Bluetooth devices",Electronics,5,"Bought these for my husband as he had always wanted wireless headphones while he works out. He loves these and uses them daily. He has had them for almost a year now and loves them still. They just charge and he takes them running or to the gym for a couple of hours. They are wonderful, simple and fit his ears great! I will buy another pair soon just for back up.",0.9583,positive
Creative Labs Nomad Muvo MP3 Player,Electronics,1,"After I wrote this review, I discovered major problems with my Muvo and also a replacement unit: memory corruption that leaves the Muvo dead or files mangled.  <br />You can restore the unit with a special recovery mode hard format with their windows only utility, but this is not documented in their meager documentation.  I found that this was needed every day or two with the units I had.  Since I purchased it for file storage also I returned them both.  <br />That aside after using a Muvo for a couple of weeks, I found: <br />* the lack of a resume where you left off feature to be a major problem (four hours of music in a 128MB unit and you have to keep listening to the first half hour over and over ...).  <br />* you have to reformat and load all files in correct order if you want to control the play order. <br />My original review follows:<br />Rather than the 64, the Muvo 128 makes for a better value.<br />I've upgraded from one of the original Rio 300's so having 121 MB of memory to play with is a blast. Not being locked in to Windows was a big motivation for wanting a device with standard USB storage, plus there's plenty of room to keep your crypto keys and other files. <br />* Windows 2k shows about 121MB (not 128) free on my unit to start. There is a windows specific program for formating the drive. I suspect it puts a copy of the system software in the flash memory somewhere in the missing space. If so then it should be possible to update the firmware on the device a real plus. <br />* The player doesn't play files placed in a subdirectory. Your mp3 files need to be in the root directory. The play order seems to be the physical storage order on the flash memory disk - not alphabetical. <br />* The sound quality sounds great especially with my Sony Fontopia EX70LP ear buds - occasionally almost too much bass. The headphones shipped with the Muvo belong in the back of your bottom drawer. <br />* The unit feels solid and well made in spite of its small size and weight.",0.762,positive
Samsung YP-MT6X 512 MB Digital Audio Player Blue,Electronics,5,"I just bought this player a few days ago, and can safely say it was the best $120 I ever spent...when I was making my choices, I looked at this as well as the 512 MB IPod shuffle, and this has the IPod shuffle beat in just about everything, and for a scant $20 more...well worth it!  Now on to the pros and cons... <br /> <br />Pros:  <br />-Small size (not much bigger than the 1 AA battery that powers it) <br />-Screen that holds a lot of information in such a small space (HUGE PLUS over the Ipod Shuffle!)...also has a great backlight for night usage <br />-Battery life - 40+ hours on one AA battery <br />-Very easy to load songs onto it...just plug it into the USB port on your computer and use Windows Explorer...no special software needed (though it does come with a CD that is optional) <br /> <br />Cons: <br /> <br />- Slightly awkward controls...if you want to use the controls one handed, I found it much easier to do it if your holding the unit in your left hand, despite me being a righty, but if you have really big hands it might be hard to move the joystick control...also it is very easy to inadvertently press buttons or move the stick, though there is a \\""Hold\\"" feature that locks out all the controls which helps...",0.9695,positive
STREET by 50 Wired Over-Ear Headphones,Electronics,5,Headset is very useful. Bass sounds are very nice. At the same time there is the possibility of using the phone. Nice to have a removable headphone cable. Because it provides the possibility of using different cables.,0.8437,positive
Panasonic ErgoFit In-Ear Earbud Headphone,Electronics,5,"Sound is very descent for the price. I hope these ones will last, not like the 10 bucks Sony ones that I always buy and sooner or later stop working  .. I think Panasonic is an excellent  Brand. Even though they were not expensive they are working fine, I have never had any problem with Panasonic ( with normal use, of course).",0.7467,positive
Mediabridge Banana Plugs - Corrosion-Resistant 24K Gold-Plated Connectors - 6 Pair/12 Banana Plugs (Part# SPC-BP2-6 ),Electronics,5,"Somehow I have never heard of this company until just last month. I was putting together a new audio system, and picked up some 14 gauge wire off Amazon made by Mediabridge. When I got it I flipped through the brochure and found the company's statement regarding being dedicated to quality at reasonable prices. I'll admit, I rolled my eyes thinking it was just more marketing speak. But after using the cables (including resistance and inductance measurements), I was impressed.<br /><br />What I was less impressed with were the big-name banana plugs I had bought to terminate the cables. So, I figured I would try out the Mediabridge version and see if the speaker cable was a quality fluke. I'm happy to say I was not disappointed. Compared to the big-name banana plugs I got, well, there really is no comparison. As with the cables, I measured resistance/capacitance/inductance on the wires after having the banana plugs installed, and also measured resistance directly at my speakers and then with the Mediabridge banana plugs/wires connected, and am very pleased with the results. This company is now on my go-to list for quality products.<br /><br />Included photo shows plugs while using aforementioned 14 gauge wire. As you can see, they have plenty of space left if you wanted to run bigger wiring.",0.9616,positive
"Insten POTHDVIX6F01 Gold-Plated DVI-D Digital Dual Link Cable 9.9Gbps 24 Plus 1 Pin 6-Feet, Black",Electronics,4,"work well .price was very cheap compaired to stores.<br />easy to hook up,good length,great if u play games or watch movies...<br />i tried just a plug adapter but that don't work so i invested in the whole cable<br />quality was very good heavy cable.",0.8171,positive
"SF Cable, 3ft 16 AWG Outlet Saver Power Extension Cord (NEMA 5-15R to NEMA 5-15P)",Electronics,5,Bought these for my granddaughter and she loves them.,0.5719,positive
Sangean DT-210 FM-Stereo/AM PLL Synthesized Pocket Receiver,Electronics,5,"Love, love, LOVE this litle radio!!! I just started commuting to work by bike--just a 7 mile run round trip, but I dearly missed listening to my local NPR station in the morning and evening. I knew if I were going to get a radio to put on my bike it would need to be small, lightweight, have a great speaker system, and enough FM sensitivity to pick up the NPR station out of Akron (about 20 miles away). This radio fits the bill perfectly!!! The radio itself is about the size of a smart phone and just twice as thick. The digital tuning is awesome, and the sound quality of the speaker blew me away. I plan to fashion a mount for the front of my bike to keep the radio on, but right now I just clip it to my rear bike basket (using the included pocket clip attachment) and hear everything just fine in low to moderate traffic. This radio is simply wonderful for my needs and has greatly improved my daily commute.",0.9931,positive
2 in1 universal adapter,Electronics,3,It worked fine in Germany but had difficulty with the plugs in England.,-0.4019,negative
Woodees Inner Earphone with Microphone - 1 Pack - Retail Packaging - Black,Electronics,1,"These headphones are either fakes or of such poor quality they should not be sold on Amazon. They do not work and are not acceptable to any consumer.     By far the worst thing I have ever bought on Amazon. Total unusable junk.     Microphone piece broke as soon as I touched it. The cord was already broke out of the box (only one ear bud worked), plus sounds like toys. These are not worth as much as the box they come in.",-0.9236,negative
"BlueRigger 3.5mm to RCA (2) Stereo Audio Cable (25 Feet, White)",Electronics,1,How can a 3.5mm to rca work without split the L cable and R cable.<br /><br />Its totally doesn't work. I have to put my speakers together otherwise I will be able to use only one of them.....,-0.4629,negative
"Foxx Best Bluetooth Speaker with the Most Features and Best Specs for the Price, Ultra Portable Wireless Bluetooth Speaker, High Quality Sound with Loud Beats, High Capacity Rechargeable Battery, Perfect for iPhone, iPad, MP3 Speaker, Computer Speaker",Electronics,5,"i got this speaker from the Review club for a $1 and it is awesome...works great, great sound and easy to use...I would highly recommend this product!!!",0.941,positive
Grace Digital GDI-BTAR513 100 Watt Digital Integrated Stereo Amplifier with Built-In AptX Bluetooth Wireless Stereo Receiver,Electronics,4,"GREAT sound quality and clarity; impressive sound stage and excellent overall sound quality.  Strangely lacking in punch, especially on the bottom end.  Only slightly fixed by maxing out the bass control (which on my unit was switched with the treble, weird..), it's almost as if the Grace is tuned to roll the bass off at 3db - 6db so as not to strain the amp.  No surprise it comes with a digital sub out!",0.9332,positive
